ID,Context,Polish,English,Notes
journal_cover_company,Journal Cover,"Przedsiębiorstwo Krajowa Państwowa Komunikacja Pociągowa","National State Railway Communication Company","Company name on journal cover"
journal_cover_title,Journal Cover,"KOMPENDIUM DLA KONDUKTORA POCIĄGU SU45","COMPENDIUM FOR SU45 TRAIN CONDUCTOR","Journal subtitle"
journal_page1_title,Journal Page 1,"PODRĘCZNIK KONDUKTORA W TWOJEJ TORBIE","CONDUCTOR'S HANDBOOK IN YOUR BAG","Page 1 title"
journal_page1_content,Journal Page 1,"Ów swoisty poradnik zawiera niezbędne wskazówki oraz doktryny jakimi winien kierować się każdy szanujący ""III Rzeczpospolitą Polskę"" obywatel oraz przede wszystkim konduktor Polskich kolei!","This unique guide contains essential guidelines and doctrines that every citizen respecting the ""Third Polish Republic"" and especially Polish railway conductors should follow!","Main description text"
journal_page1_author,Journal Page 1,"NAPISANA POD PRZEWODNICTWEM: Ministra Transportu i Gospodarki Morskiej 1989","WRITTEN UNDER THE GUIDANCE OF: Minister of Transport and Maritime Economy 1989","Author information"
journal_page1_published,Journal Page 1,"WYDRUKOWANO W: Miasto stoleczne Warszawa 1989","PRINTED IN: Capital City Warsaw 1989","Publication info"
journal_page1_ownership,Journal Page 1,"Ów informator jest własnością:","This guide is the property of:","Ownership line"
journal_page1_signature,Journal Page 1,"Janusz Efranowicz","Janusz Efranowicz","Signature name"
journal_page2_title,Journal Page 2,"ZBIÓR PORAD OGÓLNYCH","COLLECTION OF GENERAL ADVICE","Page 2 title"
journal_page2_conflicts,Journal Page 2,"SYTUACJE KONFLIKTOWE:","CONFLICT SITUATIONS:","Section header"
journal_page2_conflict1,Journal Page 2,"Zachowaj spokój","Stay calm","Conflict advice"
journal_page2_conflict2,Journal Page 2,"Nie eskaluj","Don't escalate","Conflict advice"
journal_page2_conflict3,Journal Page 2,"Stosuj przepisy (tak do pasażerów, jak i względem siebie)","Follow regulations (both with passengers and yourself)","Conflict advice"
journal_page2_conflict4,Journal Page 2,"Wzywaj pomoc gdy trzeba!","Call for help when needed!","Conflict advice - highlighted"
journal_page2_guidelines,Journal Page 2,"WSKAZÓWKI:","GUIDELINES:","Section header"
journal_page2_guideline1,Journal Page 2,"Torba najlepszym przyjacielem każdego konduktora!","Your bag is every conductor's best friend!","Guideline"
journal_page2_guideline2,Journal Page 2,"[E] - rozmawiaj z pasażerem","[E] - talk to passenger","Control instruction"
journal_page2_guideline3,Journal Page 2,"[LMB] - pobierz dokument","[LMB] - take document","Control instruction"
journal_page2_guideline4,Journal Page 2,"[Q] - powiększ dokument","[Q] - magnify document","Control instruction"
journal_page3_title,Journal Page 3,"ZASADY KONTROLI BILETÓW","TICKET CONTROL RULES","Page 3 title"
journal_page3_ticket_types,Journal Page 3,"1. RODZAJE BILETÓW:","1. TYPES OF TICKETS:","Section header"
journal_page3_ticket_normal,Journal Page 3,"Normalny - dla dorosłych","Normal - for adults","Ticket type"
journal_page3_ticket_reduced,Journal Page 3,"Ulgowy - dla młodzieży i seniorów","Reduced - for youth and seniors","Ticket type"
journal_page3_document_types,Journal Page 3,"2. RODZAJE DOKUMENTÓW:","2. TYPES OF DOCUMENTS:","Section header"
journal_page3_doc_id,Journal Page 3,"Dowód osobisty","ID card","Document type"
journal_page3_doc_student,Journal Page 3,"Legitymacja studencka","Student ID","Document type"
journal_page3_doc_school,Journal Page 3,"Legitymacja szkolna","School ID","Document type"
